iter	Logloss
0	0.6895811896
1	0.6862725605
2	0.6827251034
3	0.6793207558
4	0.6760981525
5	0.67278107
6	0.6694072363
7	0.6662676745
8	0.6633482382
9	0.6605254902
10	0.6576031526
11	0.654701074
12	0.6518322236
13	0.6488925015
14	0.6461780344
15	0.6433646983
16	0.6406047318
17	0.63794322
18	0.6353518366
19	0.6328501285
20	0.6303563805
21	0.6277954237
22	0.6254400022
23	0.6232272066
24	0.6206929741
25	0.6183593636
26	0.6159664715
27	0.6135992337
28	0.6115033192
29	0.6094608216
30	0.607196663
31	0.6051005746
32	0.6030069806
33	0.6010329229
34	0.5991071811
35	0.5971990385
36	0.5952993805
37	0.5933582067
38	0.5916312707
39	0.5897425627
40	0.5879070349
41	0.5860797821
42	0.5843389698
43	0.5825643705
44	0.5807860878
45	0.5790481816
46	0.5774153573
47	0.5756834782
48	0.573941692
49	0.5723043332
