iter	Passed	Remaining
0	17	850
1	33	793
2	53	844
3	73	847
4	89	807
5	105	774
6	120	743
7	137	721
8	157	718
9	177	709
10	193	686
11	208	660
12	224	639
13	247	637
14	271	633
15	293	623
16	308	598
17	323	575
18	339	554
19	356	535
20	372	514
21	387	493
22	403	474
23	428	463
24	453	453
25	472	436
26	489	416
27	507	398
28	529	383
29	555	370
30	585	358
31	617	347
32	649	334
33	672	316
34	702	301
35	724	281
36	747	262
37	768	242
38	786	221
39	807	201
40	830	182
41	853	162
42	880	143
43	899	122
44	916	101
45	933	81
46	951	60
47	969	40
48	985	20
49	1002	0
