transaction_id;product_id;customer_id;Product_NAME;transaction_date;online_order;order_status;list_price;standard_cost
94;86;1;43092è;23.12.2017;False;Approved;235,63;7,21
3765;38;1;42831è;06.04.2017;True;Approved;1577,53;7,21
5157;47;1;42866è;11.05.2017;True;Approved;1720,7;7,21
9785;72;1;42740è;05.01.2017;False;Approved;360,4;7,21
13424;2;1;42787è;21.02.2017;False;Approved;71,49;7,21
13644;25;1;42874è;19.05.2017;False;Approved;1538,99;7,21
14486;23;1;42821è;27.03.2017;False;Approved;688,63;7,21
14931;31;1;43083è;14.12.2017;True;Approved;230,91;7,21
15663;32;1;42890è;04.06.2017;True;Approved;642,7;7,21
16423;9;1;43078è;09.12.2017;True;Approved;742,54;7,21
18970;11;1;42823è;29.03.2017;True;Approved;1274,93;7,21
2261;1;2;42859è;04.05.2017;True;Approved;1403,5;7,21
6743;85;2;42897è;11.06.2017;False;Approved;752,64;7,21
16411;26;2;42971è;24.08.2017;False;Approved;1992,93;7,21
10302;33;3;42789è;23.02.2017;False;Approved;1311,44;7,21
11005;94;3;42994è;16.09.2017;False;Approved;1635,3;7,21
11784;55;3;42846è;21.04.2017;True;Approved;1894,19;7,21
12954;77;3;42830è;05.04.2017;False;Approved;1240,31;7,21
13285;47;3;42982è;04.09.2017;False;Approved;1720,7;7,21
15188;82;3;42818è;24.03.2017;False;Approved;1148,64;7,21
16725;90;3;42912è;26.06.2017;;Approved;363,01;7,21
19498;5;3;42997è;19.09.2017;False;Approved;574,64;7,21
12441;95;4;42828è;03.04.2017;False;Approved;569,56;7,21
14648;62;4;42904è;18.06.2017;True;Approved;478,16;7,21
2250;34;5;42963è;16.08.2017;False;Approved;774,53;7,21
2291;23;5;42797è;03.03.2017;True;Approved;688,63;7,21
2534;84;5;42858è;03.05.2017;False;Approved;290,62;7,21
7692;39;5;43083è;14.12.2017;False;Approved;1812,75;7,21
13058;96;5;42881è;26.05.2017;True;Approved;1172,78;7,21
19993;13;5;42853è;28.04.2017;False;Approved;1163,89;7,21
902;0;6;42876è;21.05.2017;False;Approved;358,39;7,21
4013;0;6;42994è;16.09.2017;False;Approved;230,91;7,21
5749;54;6;43035è;27.10.2017;True;Approved;1807,45;7,21
7096;77;6;42763è;28.01.2017;False;Approved;1769,64;7,21
8204;12;6;42772è;06.02.2017;True;Approved;1765,3;7,21
3954;5;7;42846è;21.04.2017;False;Approved;574,64;7,21
18369;72;7;42784è;18.02.2017;True;Approved;360,4;7,21
18549;22;7;42790è;24.02.2017;True;Approved;60,34;7,21
3688;15;8;43000è;22.09.2017;True;Approved;958,74;7,21
5321;3;8;43077è;08.12.2017;True;Approved;2091,47;7,21
7636;34;8;42929è;13.07.2017;True;Approved;774,53;7,21
8415;76;8;42836è;11.04.2017;False;Approved;642,31;7,21
9039;4;8;43029è;21.10.2017;True;Approved;1129,13;7,21
10792;89;8;42739è;04.01.2017;True;Approved;1362,99;7,21
13266;4;8;43012è;04.10.2017;False;Approved;1129,13;7,21
15024;1;8;42846è;21.04.2017;False;Approved;1403,5;7,21
17199;45;8;42958è;11.08.2017;False;Approved;441,49;7,21
19844;3;8;42763è;28.01.2017;;Approved;2091,47;7,21
2501;59;9;42865è;10.05.2017;False;Approved;1061,56;7,21
2979;85;9;42800è;06.03.2017;False;Approved;752,64;7,21
4233;36;9;43021è;13.10.2017;False;Approved;945,04;7,21
8591;69;9;42770è;04.02.2017;False;Approved;792,9;7,21
9405;6;9;42967è;20.08.2017;False;Approved;227,88;7,21
10662;38;9;43008è;30.09.2017;True;Approved;1577,53;7,21
4565;5;10;42973è;26.08.2017;False;Approved;574,64;7,21
5956;21;10;42906è;20.06.2017;True;Approved;1071,23;7,21
10250;44;10;42929è;13.07.2017;True;Approved;1769,64;7,21
14899;69;10;42956è;09.08.2017;False;Approved;792,9;7,21
16095;0;10;43066è;27.11.2017;False;Approved;2064,08;7,21
18946;53;10;43056è;17.11.2017;False;Approved;795,34;7,21
6004;28;11;42827è;02.04.2017;False;Approved;1216,14;7,21
9240;10;11;43038è;30.10.2017;True;Approved;1466,68;7,21
10444;30;11;42949è;02.08.2017;False;Approved;748,17;7,21
14370;10;11;42925è;09.07.2017;False;Approved;1466,68;7,21
16846;85;11;42888è;02.06.2017;;Approved;752,64;7,21
18879;4;11;43053è;14.11.2017;True;Approved;1129,13;7,21
5985;39;12;42968è;21.08.2017;False;Approved;1812,75;7,21
6705;72;12;42982è;04.09.2017;True;Approved;360,4;7,21
6741;72;12;42778è;12.02.2017;True;Approved;360,4;7,21
12242;91;12;42939è;23.07.2017;False;Approved;100,35;7,21
13818;44;12;42968è;21.08.2017;False;Approved;1769,64;7,21
14250;34;12;43032è;24.10.2017;True;Approved;774,53;7,21
19219;28;12;42994è;16.09.2017;False;Approved;1216,14;7,21
8905;66;13;42782è;16.02.2017;False;Approved;1163,89;7,21
11839;9;13;42949è;02.08.2017;True;Approved;1216,14;7,21
13486;17;13;43056è;17.11.2017;False;Approved;1362,99;7,21
15101;49;13;42795è;01.03.2017;True;Approved;1061,56;7,21
17639;0;13;43072è;03.12.2017;True;Approved;495,72;7,21
17763;92;13;42741è;06.01.2017;False;Approved;1890,39;7,21
19988;0;13;42830è;05.04.2017;True;Approved;544,05;7,21
6044;56;14;43052è;13.11.2017;True;Approved;183,86;7,21
8486;0;14;42963è;16.08.2017;True;Approved;1084,18;7,21
16253;68;14;42866è;11.05.2017;False;Approved;1636,9;7,21
19381;23;14;43035è;27.10.2017;True;Approved;688,63;7,21
434;67;15;42804è;10.03.2017;False;Approved;544,05;7,21
7896;26;15;42946è;30.07.2017;False;Approved;1992,93;7,21
10707;41;15;42998è;20.09.2017;True;Approved;416,98;7,21
11788;33;15;42893è;07.06.2017;True;Approved;1311,44;7,21
17528;2;15;42755è;20.01.2017;False;Approved;71,49;7,21
17963;81;15;43064è;25.11.2017;True;Approved;586,45;7,21
